Data,MAE Train,MAE Test,Pearson Test,Spearman Test
mesos,5.025768280029297,1.9113515615463257,0.28867,0.35017006538233736
mesos,5.036466598510742,1.9160144329071045,0.2891447,0.35061509620154935
mesos,5.01751184463501,1.9184279441833496,0.28836814,0.3490700658301695
mesos,5.040957927703857,1.9197943210601807,0.2885809,0.34992801644108906
mesos,5.008397579193115,1.9210855960845947,0.2872447,0.3484987385295136
mesos,5.026858806610107,1.9122824668884277,0.28846574,0.34990810458840316
mesos,5.028501033782959,1.9192161560058594,0.28799355,0.34930050660348244
mesos,5.039949893951416,1.916334867477417,0.28754938,0.34839002414818226
mesos,5.023504734039307,1.9164565801620483,0.28946966,0.3504850429065431
mesos,5.041194438934326,1.919527530670166,0.2882247,0.3496835535172761
